DeviceSN	10039
LaserWavelength_nm	785
Exposure_ms	5000
GainMultiplier	1
LaserCurrent_mA	250
LaserPower_mW	90.7130737
RepetitionCount	3
Tags	
346	-2.22524022e-06
348	0.0210191421
350	0.0396718979
352	0.0612880364
354	0.0823413581
356	0.0999546051
358	0.119857788
360	0.145584106
362	0.174686268
364	0.203458309
366	0.229829162
368	0.253695488
370	0.270001233
372	0.265060902
374	0.240010262
376	0.21689336
378	0.213825554
380	0.228878826
382	0.242041886
384	0.243862778
386	0.242783397
388	0.244484589
390	0.245669365
392	0.242232323
394	0.238577843
396	0.241840988
398	0.242042243
400	0.230112553
402	0.201536983
404	0.152801678
406	0.0962664336
408	0.0484073982
410	0.025414627
412	0.0280923843
414	0.0381086655
416	0.0402193069
418	0.0447500534
420	0.0613385849
422	0.0903221741
424	0.117666878
426	0.111744881
428	0.0661087036
430	0.0240055714
432	0.0313056298
434	0.0829285011
436	0.128601864
438	0.13112402
440	0.106506824
442	0.0953243598
444	0.109376431
446	0.127370998
448	0.133296803
450	0.121928215
452	0.0998388901
454	0.0828529969
456	0.0822211877
458	0.0986539498
460	0.12728548
462	0.158397987
464	0.1793143
466	0.184575886
468	0.167741299
470	0.131837517
472	0.0915436745
474	0.0600204468
476	0.0420144424
478	0.0384836197
480	0.0475269929
482	0.069955349
484	0.0877629891
486	0.0757778436
488	0.0405856781
490	0.0147903757
492	0.0215312634
494	0.0459744111
496	0.061524868
498	0.0598864555
500	0.058614254
502	0.0689992905
504	0.0882514268
506	0.110328995
508	0.128586128
510	0.142347977
512	0.154110759
514	0.165641308
516	0.173315212
518	0.168518215
520	0.152003437
522	0.130092472
524	0.109027222
526	0.0893375054
528	0.0681707039
530	0.0546754226
532	0.0509540215
534	0.044844307
536	0.0337971039
538	0.0311587676
540	0.0466618538
542	0.0707478523
544	0.0744899139
546	0.0542310104
548	0.0352026597
550	0.0387660675
552	0.0573013611
554	0.0652373582
556	0.0487491265
558	0.0265065841
560	0.022724947
562	0.0373175927
564	0.0486459732
566	0.0404990502
568	0.0253550224
570	0.0255258884
572	0.03974263
574	0.0601650849
576	0.089009285
578	0.125716537
580	0.166553825
582	0.194773659
584	0.199253559
586	0.191881508
588	0.182963848
590	0.178113937
592	0.179337338
594	0.179843754
596	0.178968757
598	0.178734943
600	0.179990292
602	0.177715942
604	0.164979294
606	0.145584583
608	0.125784725
610	0.106159851
612	0.088865757
614	0.0781973153
616	0.0811854973
618	0.0989942551
620	0.118781097
622	0.124169514
624	0.112524189
626	0.091798149
628	0.0690550804
630	0.053001564
632	0.0393079147
634	0.0211246815
636	0.00447924947
638	0.0024460156
640	0.0210220031
642	0.0520833321
644	0.0648803711
646	0.0499976464
648	0.0330471992
650	0.0325957946
652	0.0375521965
654	0.0417415313
656	0.0476223603
658	0.0555920638
660	0.0619196929
662	0.0589818917
664	0.055716034
666	0.0621298179
668	0.0740021095
670	0.0775667801
672	0.0625783578
674	0.0437250137
676	0.0416857377
678	0.0612983704
680	0.0879688263
682	0.100369923
684	0.0862208977
686	0.0548017807
688	0.0217307415
690	0.00792694092
692	0.0199214611
694	0.0391122513
696	0.0402642898
698	0.0271576252
700	0.0222452488
702	0.0438745841
704	0.0724813193
706	0.0838041306
708	0.0803375244
710	0.071688816
712	0.0687724724
714	0.0744241029
716	0.0853339806
718	0.108645439
720	0.139060497
722	0.15754047
724	0.151662514
726	0.117774487
728	0.0723929405
730	0.039775528
732	0.028157711
734	0.0331029892
736	0.0438604355
738	0.0555364303
740	0.068798542
742	0.080220066
744	0.0791188851
746	0.0602842942
748	0.0384003334
750	0.0280524902
752	0.0350473709
754	0.0498228073
756	0.0519445725
758	0.0420724526
760	0.0338996239
762	0.0380606651
764	0.0553930625
766	0.0695575103
768	0.0641555786
770	0.0498495102
772	0.0452639237
774	0.058864437
776	0.0771927834
778	0.0736789703
780	0.0516665801
782	0.04670652
784	0.068745777
786	0.0924313813
788	0.0750149041
790	0.0282546692
792	0.00507672643
794	0.0274839401
796	0.0640346259
798	0.0785470009
800	0.0746391565
802	0.0821944848
804	0.103085682
806	0.114931583
808	0.108618096
810	0.0883231163
812	0.0656997338
