method,param,min_distance,peak_index,position,intensity,prominence
local_maxima,,,1059,2476.0,0.0297787711,
local_maxima,,,1064,2486.0,0.0593893528,
local_maxima,,,1070,2498.0,0.0293582641,
local_maxima,,,1073,2504.0,0.03191223,
local_maxima,,,1078,2514.0,0.0288720801,
local_maxima,,,1083,2524.0,0.0521098897,
local_maxima,,,1092,2542.0,0.0852671191,
local_maxima,,,1097,2552.0,0.0978819579,
local_maxima,,,1102,2562.0,0.100123644,
local_maxima,,,1108,2574.0,0.162167549,
local_maxima,,,1112,2582.0,0.0365032516,
