wavenumber,intensity,is_peak_UI_default,is_peak_prominence_5pct_range,is_peak_relaxed_5pct
732.0,0.00147929182,0,0,0
734.0,0.00162130292,0,0,0
736.0,0.00406015851,0,0,0
738.0,0.0087427292,0,0,0
740.0,0.0157025456,0,0,0
742.0,0.0193539355,0,0,0
744.0,0.020347802,0,0,0
746.0,0.0177637115,0,0,0
748.0,0.0125264581,0,0,0
750.0,0.0102111697,0,0,0
752.0,0.0126534076,0,0,0
754.0,0.0193037316,0,0,0
756.0,0.0233998261,0,0,0
758.0,0.0187861212,0,0,0
760.0,0.0114969723,0,0,0
762.0,0.0078421738,0,0,0
764.0,0.0088541694,0,0,0
766.0,0.0126555748,0,0,0
768.0,0.0146683343,0,0,0
770.0,0.0148647726,0,0,0
772.0,0.0128563344,0,0,0
774.0,0.00816676579,0,0,0
776.0,0.00470829615,0,0,0
778.0,0.00328044314,0,0,0
780.0,0.00388467917,0,0,0
782.0,0.00521405973,0,0,0
784.0,0.00610523857,0,0,0
786.0,0.00791066326,0,0,0
788.0,0.00981073361,0,0,0
790.0,0.00939289946,0,0,0
792.0,0.00751369586,0,0,0
794.0,0.00624014763,0,0,0
796.0,0.00646271138,0,0,0
798.0,0.0107734501,0,0,0
800.0,0.0151483947,0,0,0
802.0,0.0169292465,0,0,0
804.0,0.0185166299,0,0,0
806.0,0.0198188126,0,0,0
808.0,0.0195170213,0,0,0
810.0,0.0161781851,0,0,0
812.0,0.0121449586,0,0,0
814.0,0.0106901107,0,0,0
816.0,0.0100556072,0,0,0
818.0,0.00706871133,0,0,0
820.0,0.00304443249,0,0,0
822.0,0.00369963655,0,0,0
824.0,0.00786452927,0,0,0
826.0,0.0107874274,0,0,0
828.0,0.00798028149,0,0,0
830.0,0.00168565509,0,0,0
832.0,-1.03712091e-06,0,0,0
834.0,0.00671461225,0,0,0
836.0,0.0209140722,0,0,0
838.0,0.0391963795,0,0,0
840.0,0.0588981956,0,0,0
842.0,0.078752026,0,0,0
844.0,0.0998088643,0,0,0
846.0,0.122420877,0,0,0
848.0,0.149814188,0,0,0
850.0,0.184722245,0,0,0
852.0,0.232541502,0,0,0
854.0,0.300748676,0,0,0
856.0,0.391320944,0,0,0
858.0,0.500547886,0,0,0
860.0,0.626395106,0,0,0
862.0,0.782123148,0,0,0
864.0,0.98495996,0,0,0
866.0,1.26813269,0,0,0
868.0,1.66558123,0,0,0
870.0,2.19932246,0,0,0
872.0,2.99388456,0,0,0
874.0,4.04538631,0,0,0
876.0,5.40612984,0,0,0
878.0,7.14356041,0,0,0
880.0,8.84744263,0,0,0
882.0,9.92500114,0,0,0
884.0,10.1334572,1,1,1
886.0,9.46615505,0,0,0
888.0,8.2340374,0,0,0
890.0,6.78709841,0,0,0
892.0,5.24796391,0,0,0
894.0,3.88072515,0,0,0
896.0,2.88199282,0,0,0
898.0,2.15782285,0,0,0
900.0,1.61607432,0,0,0
902.0,1.24870396,0,0,0
904.0,0.975942016,0,0,0
906.0,0.772463679,0,0,0
908.0,0.613868475,0,0,0
910.0,0.487060159,0,0,0
912.0,0.39270857,0,0,0
914.0,0.325219333,0,0,0
916.0,0.273368955,0,0,0
918.0,0.225901037,0,0,0
920.0,0.180148989,0,0,0
922.0,0.138880193,0,0,0
924.0,0.105036713,0,0,0
926.0,0.0765644908,0,0,0
928.0,0.05385831,0,0,0
930.0,0.0390965194,0,0,0
932.0,0.0293445364,0,0,0
934.0,0.0231023971,0,0,0
936.0,0.0206165202,0,0,0
938.0,0.0217153355,0,0,0
940.0,0.0227256007,0,0,0
942.0,0.0164116807,0,0,0
944.0,0.00552089792,0,0,0
946.0,-1.19209346e-07,0,0,0
948.0,-8.94069672e-07,0,0,0
950.0,0.00441625109,0,0,0
952.0,0.0139872674,0,0,0
954.0,0.0223209392,0,0,0
956.0,0.0276810192,0,0,0
958.0,0.0321845934,0,0,0
960.0,0.0331600308,0,0,0
962.0,0.0255457945,0,0,0
964.0,0.0121272858,0,0,0
966.0,0.000875675702,0,0,0
968.0,4.03106205e-05,0,0,0
970.0,0.00491617899,0,0,0
972.0,0.00980321132,0,0,0
974.0,0.0113061965,0,0,0
976.0,0.0134436544,0,0,0
978.0,0.0149281742,0,0,0
980.0,0.015227044,0,0,0
982.0,0.0152984736,0,0,0
984.0,0.0139399879,0,0,0
986.0,0.0101534724,0,0,0
988.0,0.00316378474,0,0,0
990.0,0.000201898831,0,0,0
992.0,0.00232549896,0,0,0
994.0,0.0133837219,0,0,0
996.0,0.0249155816,0,0,0
998.0,0.02754765,0,0,0
1000.0,0.0207138658,0,0,0
1002.0,0.0110481614,0,0,0
1004.0,0.00316282501,0,0,0
1006.0,0.00416281214,0,0,0
1008.0,0.0131698968,0,0,0
1010.0,0.0292929523,0,0,0
1012.0,0.0493134856,0,0,0
1014.0,0.0709225237,0,0,0
1016.0,0.0942212641,0,0,0
1018.0,0.120938048,0,0,0
1020.0,0.155619025,0,0,0
1022.0,0.199028313,0,0,0
1024.0,0.247002363,0,0,0
1026.0,0.297130138,0,0,0
1028.0,0.358263075,0,0,0
1030.0,0.442945421,0,0,0
1032.0,0.558615446,0,0,0
1034.0,0.705123305,0,0,0
1036.0,0.877928138,0,0,0
1038.0,1.08526433,0,0,0
1040.0,1.32613659,0,0,0
1042.0,1.60647583,0,0,0
1044.0,1.92371345,0,0,0
1046.0,2.2361393,0,0,0
1048.0,2.50722194,0,0,0
1050.0,2.71632171,0,0,0
1052.0,2.81128693,0,1,1
1054.0,2.77363801,0,0,0
1056.0,2.60542488,0,0,0
1058.0,2.334548,0,0,0
1060.0,2.04191232,0,0,0
1062.0,1.77003288,0,0,0
1064.0,1.53500628,0,0,0
1066.0,1.3605547,0,0,0
1068.0,1.24482501,0,0,0
1070.0,1.17716372,0,0,0
1072.0,1.15142667,0,0,0
1074.0,1.1450702,0,0,0
1076.0,1.17218542,0,0,0
1078.0,1.23944724,0,0,0
1080.0,1.35216618,0,0,0
1082.0,1.50874639,0,0,0
1084.0,1.69166052,0,0,0
1086.0,1.88767982,0,0,0
1088.0,2.08747363,0,0,0
1090.0,2.30540633,0,0,0
1092.0,2.54123878,0,0,0
1094.0,2.73722005,0,0,0
1096.0,2.8378787,0,1,1
1098.0,2.82973576,0,0,0
1100.0,2.69150162,0,0,0
1102.0,2.45653701,0,0,0
1104.0,2.14762449,0,0,0
1106.0,1.81101656,0,0,0
1108.0,1.52405214,0,0,0
1110.0,1.31499064,0,0,0
1112.0,1.15582013,0,0,0
1114.0,1.03743267,0,0,0
1116.0,0.938661933,0,0,0
1118.0,0.857476115,0,0,0
1120.0,0.799396038,0,0,0
1122.0,0.753716767,0,0,0
1124.0,0.700537801,0,0,0
1126.0,0.628959477,0,0,0
1128.0,0.541644037,0,0,0
1130.0,0.452383578,0,0,0
1132.0,0.370392501,0,0,0
1134.0,0.29695031,0,0,0
1136.0,0.233672649,0,0,0
1138.0,0.183140188,0,0,0
1140.0,0.143603474,0,0,0
1142.0,0.111987226,0,0,0
1144.0,0.0846687555,0,0,0
1146.0,0.0623671412,0,0,0
1148.0,0.0487357974,0,0,0
1150.0,0.0431177989,0,0,0
1152.0,0.0387688167,0,0,0
1154.0,0.0322844759,0,0,0
1156.0,0.0261449199,0,0,0
1158.0,0.0234013684,0,0,0
1160.0,0.0212039594,0,0,0
1162.0,0.0149936918,0,0,0
1164.0,0.00635622721,0,0,0
1166.0,0.00169190171,0,0,0
1168.0,0.0002964616,0,0,0
1170.0,0.00150456442,0,0,0
1172.0,0.00125598896,0,0,0
1174.0,0.000849604665,0,0,0
1176.0,0.00462114811,0,0,0
1178.0,0.0102090714,0,0,0
1180.0,0.0137169249,0,0,0
1182.0,0.015419268,0,0,0
1184.0,0.0168040507,0,0,0
1186.0,0.0195785277,0,0,0
1188.0,0.0193995107,0,0,0
1190.0,0.0126584414,0,0,0
1192.0,0.00528949499,0,0,0
1194.0,0.002436304,0,0,0
1196.0,0.00603680592,0,0,0
1198.0,0.0105924495,0,0,0
1200.0,0.0117446305,0,0,0
1202.0,0.0116484165,0,0,0
1204.0,0.0118980044,0,0,0
1206.0,0.0107646948,0,0,0
1208.0,0.0092943199,0,0,0
1210.0,0.00768028526,0,0,0
1212.0,0.00793426018,0,0,0
1214.0,0.00811821222,0,0,0
1216.0,0.0075527071,0,0,0
1218.0,0.00692223292,0,0,0
1220.0,0.00728678703,0,0,0
1222.0,0.00700330781,0,0,0
1224.0,0.0047674533,0,0,0
1226.0,0.00513336668,0,0,0
1228.0,0.00763052702,0,0,0
1230.0,0.00698627252,0,0,0
1232.0,0.00373150106,0,0,0
1234.0,0.00219926843,0,0,0
1236.0,0.00396305323,0,0,0
1238.0,0.00977683067,0,0,0
1240.0,0.0184700489,0,0,0
1242.0,0.0282677189,0,0,0
1244.0,0.0388177149,0,0,0
1246.0,0.0509961396,0,0,0
1248.0,0.0656393543,0,0,0
1250.0,0.0869320855,0,0,0
1252.0,0.116717979,0,0,0
1254.0,0.153559923,0,0,0
1256.0,0.197274268,0,0,0
1258.0,0.247350112,0,0,0
1260.0,0.309313238,0,0,0
1262.0,0.390544355,0,0,0
1264.0,0.494107604,0,0,0
1266.0,0.617912889,0,0,0
1268.0,0.750812948,0,0,0
1270.0,0.901802897,0,0,0
1272.0,1.05477667,0,0,0
1274.0,1.1661998,0,0,0
1276.0,1.21495366,0,1,1
1278.0,1.19830763,0,0,0
1280.0,1.12568569,0,0,0
1282.0,1.02450967,0,0,0
1284.0,0.888908505,0,0,0
1286.0,0.739135385,0,0,0
1288.0,0.609976828,0,0,0
1290.0,0.508974433,0,0,0
1292.0,0.426710039,0,0,0
1294.0,0.354627788,0,0,0
1296.0,0.289791375,0,0,0
1298.0,0.247473285,0,0,0
1300.0,0.224892989,0,0,0
1302.0,0.199415386,0,0,0
1304.0,0.159603804,0,0,0
1306.0,0.115439504,0,0,0
1308.0,0.0834398493,0,0,0
1310.0,0.0702537298,0,0,0
1312.0,0.0667403936,0,0,0
1314.0,0.0653813556,0,0,0
1316.0,0.0686286911,0,0,0
1318.0,0.0713056996,0,0,0
